distance_m,velocity_m_per_s
2.572019436325751,6.723446893787575
2.724488096102417,6.771543086172344
2.849927988856274,6.819639278557114
2.967151839290919,6.867735470941883
3.0710653610768524,6.915831663326653
3.1712109531410513,6.963927855711423
3.272444837806239,7.012024048096192
3.364782497276572,7.060120240480962
3.458072412772886,7.108216432865731
3.547254307109467,7.156312625250501
3.6373204391845353,7.2044088176352705
3.7282708089978662,7.25250501002004
3.8149431119327764,7.30060120240481
3.90243163431852,7.348697394789579
3.985506053250409,7.396793587174349
4.074593005394071,7.4448897795591185
4.159197835796261,7.492985971943888
4.244550867361851,7.541082164328658
4.330652100090724,7.589178356713427
4.417501533982698,7.637274549098196
4.499664791270872,7.6853707414829655
4.5825082314346135,7.733466933867735
4.671534250528869,7.781563126252505
4.755772065587742,7.829659318637274
4.840690063522464,7.877755511022044
4.926288244332881,7.925851703406813
5.012566608018845,7.973947895791583
5.099525154580517,8.022044088176353
5.1814574331003405,8.070140280561123
5.269742336269751,8.118236472945892
5.3529329531097645,8.16633266533066
5.442544212886618,8.214428857715431
5.526993168046448,8.262525050100201
5.612054287794498,8.31062124248497
5.70363807791101,8.358717434869739
5.789957535979073,8.40681362725451
5.876889158635399,8.45490981963928
5.964432945879564,8.503006012024048
6.0525888977119955,8.551102204408817
6.1413570141327245,8.599198396793586
6.2307372951414,8.647294589178356
6.32072974073802,8.695390781563127
6.411334350923079,8.743486973947896
6.502551125696123,8.791583166332664
6.588129467839381,8.839679358717435
6.680536562644926,8.887775551102205
6.773555822038325,8.935871743486974
6.867187246020079,8.983967935871743
6.9550442007968964,9.032064128256513
7.049865944811265,9.080160320641282
7.138845201332843,9.128256513026052
7.23485726537926,9.176352705410821
7.324958823645734,9.224448897795591
7.422161207725018,9.27254509018036
7.5133850677365155,9.32064128256513
7.61177777184814,9.3687374749499
7.704123933604043,9.41683366733467
7.803706957748147,9.464929859719438
7.897175421249439,9.513026052104209
7.9911880310511485,9.561122244488978
8.085744787153542,9.609218436873748
8.187674442218361,9.657314629258517
8.283353500065552,9.705410821643287
8.379576704213385,9.753507014028056
8.4763440546616,9.801603206412825
8.580620340647643,9.849699398797595
8.678509992840853,9.897795591182364
8.77694379133467,9.945891783567134
8.875921736128968,9.993987975951903
8.975443827223703,10.042084168336673
9.075510064618841,10.090180360721442
9.17612044831464,10.138276553106213
9.277274978311409,10.186372745490981
9.386210516996238,10.234468937875752
9.488487348737442,10.28256513026052
9.591308326779231,10.330661322645291
9.694673451121535,10.37875751503006
9.798582721764483,10.42685370741483
9.903036138708421,10.474949899799599
10.000592784701826,10.52304609218437
10.106100485102639,10.571142284569138
10.212152331803898,10.619238476953909
10.318748324805782,10.667334669338677
10.425888464108764,10.715430861723446
10.533572749711617,10.763527054108216
10.641801181615273,10.811623246492985
10.750573759819249,10.859719438877756
10.859890484323842,10.907815631262524
10.96975135512954,10.955911823647295
11.07237536354686,11.004008016032063
11.183290517809562,11.052104208416834
11.294749818372447,11.100200400801603
11.406753265235999,11.148296593186373
11.519300858400737,11.196392785571142
11.624441543457623,11.244488977955912
11.738043420079821,11.292585170340681
11.852189443001635,11.340681362725451
11.966879612224098,11.38877755511022
12.074026836765475,11.43687374749499
12.189771289444803,11.48496993987976
12.30605988842594,11.53306613226453
12.422892633706796,11.581162324649299
12.532046397730621,11.629258517034067
12.649933426469662,11.677354709418838
12.768364601507956,11.725450901803606
12.879014767859207,11.773547094188377
12.998500226355219,11.821643286573146
13.11852983115176,11.869739478957916
13.23067639982956,11.917835671342685
13.351760288082996,11.965931863727455
13.473388322638446,12.014028056112224
13.587031293641758,12.062124248496994
13.709713611653353,12.110220440881763
13.824342847827587,12.158316633266534
13.948079449296175,12.206412825651302
14.072360197066859,12.254509018036073
14.188485835566425,12.302605210420841
14.313820866793167,12.350701402805612
14.43093277046333,12.39879759519038
14.557322085147483,12.44689378757515
14.684255546133413,12.49498997995992
14.802863852129189,12.543086172344688
14.930851596571108,12.591182364729459
15.050446167737608,12.639278557114228
15.179488195636814,12.687374749498998
15.300069031973482,12.735470941883767
15.4301653433301,12.783567134268537
15.55173244483497,12.831663326653306
15.682883039650001,12.879759519038076
15.805436406324619,12.927855711422845
15.937641284595825,12.975951903807616
16.061180916441806,13.024048096192384
16.194440078170274,13.072144288577155
16.31896597518555,13.120240480961924
16.453279420371366,13.168336673346694
16.578791582555386,13.216432865731463
16.71415931119981,13.264529058116233
16.840657738553592,13.312625250501002
16.977079750655328,13.36072144288577
17.10456444317883,13.408817635270541
17.242040738736375,13.45691382765531
17.370511696431137,13.50501002004008
17.509042275446085,13.553106212424849
17.63849949831013,13.60120240480962
17.778084360782696,13.649298597194388
17.90852784881563,13.697394789579159
18.039447464862228,13.745490981963927
18.180596747948652,13.793587174348698
18.312502629165724,13.841683366733466
18.45470619570989,13.889779559118237
18.587598342094484,13.937875751503006
18.730856192097328,13.985971943887776
18.86473460365228,14.034068136272545
18.99908914322085,14.082164328657315
19.143911413836474,14.130260521042084
19.27925221857454,14.178356713426854
19.425128772647668,14.226452905811623
19.561455842555166,14.274549098196392
19.698259040477318,14.322645290581162
19.84570001516311,14.370741482965931
19.983489478253716,14.418837675350701
20.131984736399485,14.46693386773547
20.270760464659556,14.51503006012024
20.410012320932772,14.56312625250501
20.560071999691363,14.61122244488978
20.700310121134468,14.659318637274549
20.84102437059038,14.707414829659319
20.992648469962763,14.755511022044088
21.134348984589998,14.803607214428858
21.276525627227205,14.851703406813627
21.42971414721397,14.899799599198397
21.572877055023717,14.947895791583166
21.716516090845463,14.995991983967937
21.87126903144578,15.044088176352705
22.015894332437288,15.092184368737474
22.160995761441747,15.140280561122244
22.3173131226558,15.188376753507013
22.463400816830006,15.236472945891784
22.60996463901861,15.284569138276552
22.767846420845668,15.332665330661323
22.915396508202647,15.380761523046091
23.063422723573705,15.428857715430862
23.22286892601703,15.47695390781563
23.371881406554518,15.525050100200401
23.521370015108644,15.57314629258517
23.682380638166094,15.62124248496994
23.832855511887193,15.669338677354709
23.983806513622742,15.71743486973948
24.135233643371357,15.765531062124248
24.29831882419837,15.813627254509019
24.45073221911675,15.861723446893787
24.60362174204909,15.909819639278558
24.76827134349159,15.957915831663327
24.922147131590002,16.006012024048097
25.076499047705344,16.054108216432866
25.231327091832203,16.102204408817634
25.39805125104402,16.150300601202403
25.553865560340874,16.19839679358717
25.710155997650823,16.246492985971944
25.878444577476568,16.294589178356713
26.035721279955972,16.342685370741485
26.193474110449834,16.390781563126254
26.351703068955555,16.438877755511022
26.52206620655089,16.48697394789579
26.68128143022751,16.53507014028056
26.84097278191572,16.58316633266533
27.001140261615035,16.6312625250501
27.173577956984442,16.67935871743487
27.334731701855706,16.72745490981964
27.496361574737662,16.77555110220441
27.658467575634607,16.82364729458918
27.832979828776065,16.871743486973948
27.996072094839548,16.919839679358716
28.159640488919486,16.967935871743485
28.323685011013684,17.016032064128257
28.500271821924635,17.064128256513026
28.665302609184838,17.112224448897795
28.830809524460637,17.160320641282564
28.996792567749367,17.208416833667336
29.16325173904821,17.256513026052104
29.34242324488712,17.304609218436873
29.509868681359773,17.352705410821642
29.67779024584039,17.400801603206414
29.84618793833788,17.448897795591183
30.02743400194857,17.49699398797595
30.19681795961584,17.54509018036072
30.366678045293227,17.593186372745492
30.537014258986545,17.64128256513026
30.707826600692798,17.68937875751503
30.89165735922698,17.7374749498998
31.063455966103,17.785571142284567
31.235730700993216,17.83366733466934
31.408481563890984,17.881763527054108
31.581708554805985,17.929859719438877
31.76812400827204,17.977955911823646
31.942337264356837,18.026052104208418
32.117026648450235,18.074148296593187
32.29219216056211,18.122244488977955
32.467833800685966,18.170340681362724
32.656833949075114,18.218436873747496
32.8334618543689,18.266533066132265
33.010565887675284,18.314629258517034
33.18814604899124,18.362725450901802
33.36620233832421,18.410821643286575
33.55778718164522,18.458917835671343
33.73682973614707,18.507014028056112
33.91634841865863,18.55511022044088
34.09634322918748,18.60320641282565
34.276814167727984,18.65130260521042
34.45776123427975,18.69939879759519
34.65244090968405,18.74749498997996
34.83437424140743,18.795591182364728
35.01678370114209,18.8436873747495
35.19966928889114,18.89178356713427
35.38303100465436,18.939879759519037
35.58029537498798,18.987975951903806
35.76464335591569,19.03607214428858
35.94946746486153,19.084168336673347
36.13476770182122,19.132264529058116
36.32054406678878,19.180360721442884
36.50679655977247,19.228456913827657
36.70715576219083,19.276553106212425
36.894394520341045,19.324649298597194
37.082109406509744,19.372745490981963
37.27030042069005,19.420841683366735
37.458967562878165,19.468937875751504
37.64811083308618,19.517034068136272
37.83773023130537,19.56513026052104
38.041694402961994,19.61322645290581
38.232300066349836,19.661322645290582
38.42338185775064,19.70941883767535
38.6149397771643,19.75751503006012
38.80697382459109,19.805611222444888
38.99948400003073,19.85370741482966
39.20654300377274,19.90180360721443
39.4000394443817,19.949899799599198
39.594012013003926,19.997995991983966
39.788460709639864,20.04609218436874
39.983385534291905,20.094188376753507
40.178786486950024,20.142284569138276
40.37466356762406,20.190380761523045
40.58532754061021,20.238476953907817
40.78219088645075,20.286573146292586
40.9795303603118,20.334669338677354
41.17734596218146,20.382765531062123
41.37563769206111,20.430861723446892
41.57440554996127,20.478957915831664
41.773649535870526,20.527054108216433
41.97336964979192,20.5751503006012
42.18814872917262,20.62324649298597
42.388855108264686,20.671342685370742
42.590037615368765,20.71943887775551
